min F=2; num_slices=100; num_pts=200
angle,B_x,B_y,B_z,band number,Wien2k band number,spin dirn,branch,area [Angstrom^-2],freq [T],k_x,k_y,k_z,k_parallel,slicenum,inplane dk (Angstrom^-1),dF/dkpara^2,mass (m_e),df/dM [T/(mu_B/f.u.)],freq [kT],freq*cos(angle) [kT]
5.000000000000000000e+00,0.000000000000000000e+00,-8.715573999999999500e-02,9.961946999999999900e-01,4.000000000000000000e+00,2.600000000000000000e+01,1.000000000000000000e+00,1.200000000000000000e+01,0.000000000000000000e+00,1.411912000000000000e+03,8.128273000000000300e-01,8.185546999999999700e-01,-2.528535000000000100e-01,-3.232331000000000000e-01,2.600000000000000000e+01,1.800467999999999900e-02,-2.432111000000000100e+04,8.236805000000000400e-01,0.000000000000000000e+00,1.411912000000000100e+00,1.406539248572112700e+00
5.000000000000000000e+00,0.000000000000000000e+00,-8.715573999999999500e-02,9.961946999999999900e-01,4.000000000000000000e+00,2.600000000000000000e+01,1.000000000000000000e+00,1.300000000000000000e+01,0.000000000000000000e+00,1.412000000000000000e+03,8.190024999999999700e-01,8.221597000000000500e-01,2.525942999999999900e-01,1.799772000000000000e-01,7.100000000000000000e+01,1.800467999999999900e-02,-2.594933000000000200e+04,8.253624000000000500e-01,0.000000000000000000e+00,1.411999999999999900e+00,1.406626913705544700e+00
6.000000000000000000e+00,0.000000000000000000e+00,-1.045285000000000000e-01,9.945218999999999600e-01,4.000000000000000000e+00,2.600000000000000000e+01,1.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.414219000000000100e+03,8.230275999999999700e-01,-8.209674999999999600e-01,-2.524516000000000000e-01,-1.652541999999999900e-01,4.000000000000000000e+01,1.800183000000000000e-02,-2.409770999999999900e+04,8.236676000000000600e-01,0.000000000000000000e+00,1.414219000000000100e+00,1.406471760345824100e+00
6.000000000000000000e+00,0.000000000000000000e+00,-1.045285000000000000e-01,9.945218999999999600e-01,4.000000000000000000e+00,2.600000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,1.414478000000000100e+03,8.105805999999999800e-01,-8.176790000000000400e-01,2.532264000000000200e-01,3.373100000000000000e-01,8.400000000000000000e+01,1.800183000000000000e-02,-2.527665000000000100e+04,8.285206000000000500e-01,0.000000000000000000e+00,1.414478000000000100e+00,1.406729341516724600e+00
6.000000000000000000e+00,0.000000000000000000e+00,-1.045285000000000000e-01,9.945218999999999600e-01,4.000000000000000000e+00,2.600000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.414292999999999900e+03,-8.241703000000000200e-01,-8.209212000000000200e-01,-2.532464999999999900e-01,-1.660494999999999900e-01,4.000000000000000000e+01,1.800183000000000000e-02,-2.497782000000000000e+04,8.245947999999999600e-01,0.000000000000000000e+00,1.414292999999999800e+00,1.406545354966081100e+00
6.000000000000000000e+00,0.000000000000000000e+00,-1.045285000000000000e-01,9.945218999999999600e-01,4.000000000000000000e+00,2.600000000000000000e+01,1.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.414420000000000100e+03,-8.159617999999999600e-01,-8.196073999999999900e-01,2.525872000000000100e-01,3.368758000000000000e-01,8.400000000000000000e+01,1.800183000000000000e-02,-2.583536000000000100e+04,8.271994999999999800e-01,0.000000000000000000e+00,1.414420000000000000e+00,1.406671659246793200e+00
6.000000000000000000e+00,0.000000000000000000e+00,-1.045285000000000000e-01,9.945218999999999600e-01,4.000000000000000000e+00,2.600000000000000000e+01,1.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00,1.414103000000000100e+03,-8.128298000000000500e-01,8.202283000000000200e-01,-2.520710999999999900e-01,-3.364273999999999900e-01,2.500000000000000000e+01,1.800183000000000000e-02,-2.346741999999999800e+04,8.268393000000000500e-01,0.000000000000000000e+00,1.414103000000000100e+00,1.406356395805961500e+00
6.000000000000000000e+00,0.000000000000000000e+00,-1.045285000000000000e-01,9.945218999999999600e-01,4.000000000000000000e+00,2.600000000000000000e+01,1.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,1.414434999999999900e+03,-8.246388999999999500e-01,8.194901000000000000e-01,2.536906999999999900e-01,1.666410000000000100e-01,6.900000000000000000e+01,1.800183000000000000e-02,-2.592731000000000100e+04,8.254224999999999500e-01,0.000000000000000000e+00,1.414434999999999900e+00,1.406686577075223500e+00
6.000000000000000000e+00,0.000000000000000000e+00,-1.045285000000000000e-01,9.945218999999999600e-01,4.000000000000000000e+00,2.600000000000000000e+01,1.000000000000000000e+00,1.200000000000000000e+01,0.000000000000000000e+00,1.414278000000000000e+03,8.159921000000000000e-01,8.193797999999999900e-01,-2.516613999999999800e-01,-3.359312999999999900e-01,2.500000000000000000e+01,1.800183000000000000e-02,-2.386670999999999900e+04,8.297010000000000200e-01,0.000000000000000000e+00,1.414277999999999900e+00,1.406530437137650800e+00
6.000000000000000000e+00,0.000000000000000000e+00,-1.045285000000000000e-01,9.945218999999999600e-01,4.000000000000000000e+00,2.600000000000000000e+01,1.000000000000000000e+00,1.300000000000000000e+01,0.000000000000000000e+00,1.414405000000000000e+03,8.193120000000000400e-01,8.177997000000000200e-01,2.539737000000000200e-01,1.670991000000000000e-01,6.900000000000000000e+01,1.800183000000000000e-02,-2.552024000000000200e+04,8.276892999999999600e-01,0.000000000000000000e+00,1.414404999999999900e+00,1.406656741418362400e+00
