T	B00KOD1A Rho_mr	Err
2.015061999999999500e+02	1.292478848174217765e-01	5.893729643806042140e-02
2.025061999999999500e+02	1.297485586261622748e-01	5.916560470574460523e-02
2.035061999999999500e+02	1.302649583054394655e-01	5.940108400214524909e-02
2.045061999999999500e+02	1.307843227920613138e-01	5.963791525668125926e-02
2.055061999999999500e+02	1.313069354867300031e-01	5.987622770064497668e-02
2.065061999999999500e+02	1.318317063867451566e-01	6.011552429060427333e-02
2.075061999999999500e+02	1.323728138319927861e-01	6.036227037817432084e-02
2.085061999999999500e+02	1.329160410729680053e-01	6.060998309687615909e-02
2.095061999999999500e+02	1.334511233985276324e-01	6.085398171770328019e-02
2.105061999999999500e+02	1.339707862016780160e-01	6.109094900517859916e-02
2.115061999999999500e+02	1.344833169450548871e-01	6.132466405899703044e-02
2.125061999999999500e+02	1.350001847518075282e-01	6.156035682247167073e-02
2.135061999999999500e+02	1.355154232913660661e-01	6.179530663681619823e-02
2.145061999999999500e+02	1.360366511089197705e-01	6.203298757401931596e-02
2.155061999999999500e+02	1.365729565322462979e-01	6.227754392989769128e-02
2.165061999999999500e+02	1.371238874970678034e-01	6.252876956222783167e-02
2.175061999999999500e+02	1.376644037729310988e-01	6.277524607536499879e-02
2.185061999999999500e+02	1.382070231803202986e-01	6.302268162072434399e-02
2.195061999999999500e+02	1.387564487940441960e-01	6.327322080991458486e-02
2.205061999999999500e+02	1.392891503242323359e-01	6.351613378324529047e-02
2.215061999999999500e+02	1.398143556954992428e-01	6.375562849297261581e-02
2.225061999999999500e+02	1.403384672394949462e-01	6.399462441525577416e-02
2.235061999999999500e+02	1.408681945283968284e-01	6.423618112855473961e-02
2.245061999999999500e+02	1.413972843888189890e-01	6.447744717317993590e-02
2.255061999999999500e+02	1.419479078581419029e-01	6.472853258694187539e-02
2.265061999999999500e+02	1.424971544819487179e-01	6.497899015636851572e-02
2.275061999999999500e+02	1.430482598472022360e-01	6.523029531564779326e-02
2.285061999999999500e+02	1.436197585892921846e-01	6.549089989594025774e-02
2.295061999999999500e+02	1.441756987220784714e-01	6.574440971897625718e-02
2.305061999999999500e+02	1.447088069316365688e-01	6.598750813892079181e-02
2.315061999999999500e+02	1.452433200335638552e-01	6.623124719262228621e-02
2.325061999999999500e+02	1.457756046855261944e-01	6.647397006864032287e-02
2.335061999999999500e+02	1.463100693428891208e-01	6.671768703152262947e-02
2.345061999999999500e+02	1.468613646618295299e-01	6.696907881006666785e-02
2.355061999999999500e+02	1.474221627645452837e-01	6.722480387719909078e-02
2.365061999999999500e+02	1.479770225835441988e-01	6.747782107496681780e-02
2.375061999999999500e+02	1.485388341975425741e-01	6.773400830529047179e-02
2.385061999999999500e+02	1.491019053702168362e-01	6.799076989691348050e-02
2.395061999999999500e+02	1.496670354368804523e-01	6.824847034835268555e-02
2.405061999999999500e+02	1.502032697456861798e-01	6.849299427586598432e-02
2.415061999999999500e+02	1.507420929890098960e-01	6.873869876274675550e-02
2.425061999999999500e+02	1.512997625927472167e-01	6.899299722802834656e-02
2.435061999999999500e+02	1.518434545147989145e-01	6.924092184223928914e-02
2.445061999999999500e+02	1.523872946202241840e-01	6.948891402836776532e-02
2.455061999999999500e+02	1.529477013418533982e-01	6.974446062493450116e-02
2.465061999999999500e+02	1.535114022938655343e-01	7.000150939720717336e-02
2.475061999999999500e+02	1.540932686826917697e-01	7.026684164534445498e-02
2.485061999999999500e+02	1.546774387380436822e-01	7.053322437006874501e-02
2.495061999999999500e+02	1.552475828171284988e-01	7.079321122129569877e-02
2.505061999999999500e+02	1.557975483102772840e-01	7.104399659659371702e-02
2.515061999999999500e+02	1.563400362424181567e-01	7.129137218897439732e-02
2.525061999999999500e+02	1.568964662352414774e-01	7.154510538917634166e-02
2.535061999999999500e+02	1.574573018337501462e-01	7.180084755446602962e-02
2.545061999999999500e+02	1.580181759029422039e-01	7.205660726246504444e-02
2.555061999999999500e+02	1.585795173196974106e-01	7.231258008189646314e-02
2.565061999999999216e+02	1.591436158021061198e-01	7.256981012883259585e-02
2.575061999999999216e+02	1.597248536864514512e-01	7.283485577765759500e-02
2.585061999999999216e+02	1.603198460025314631e-01	7.310617347512482489e-02
2.595061999999999216e+02	1.609011717770153505e-01	7.337125920203049767e-02
2.605061999999999216e+02	1.614514820814758056e-01	7.362220181198282642e-02
2.615061999999999216e+02	1.620028182708306008e-01	7.387361222751835654e-02
2.625061999999999216e+02	1.625721829623637538e-01	7.413324367644810731e-02
2.635061999999999216e+02	1.631401399118473927e-01	7.439223319216096975e-02
2.645061999999999216e+02	1.637086924445058655e-01	7.465149429500406164e-02
2.655061999999999216e+02	1.642784617906363209e-01	7.491131026724721920e-02
2.665061999999999216e+02	1.648470670423795303e-01	7.517059541009940560e-02
2.675061999999999216e+02	1.654338033847906342e-01	7.543814836690419801e-02
2.685061999999999216e+02	1.660186746114701573e-01	7.570485082716958691e-02
2.695061999999999216e+02	1.666073729587417285e-01	7.597329846215218618e-02
2.705061999999999216e+02	1.671748939071453499e-01	7.623208916049223349e-02
2.715061999999999216e+02	1.677397162083406612e-01	7.648964927025649063e-02
2.725061999999999216e+02	1.683073682420362094e-01	7.674849974375431982e-02
2.735061999999999216e+02	1.688739003513888004e-01	7.700683952949055611e-02
2.745061999999999216e+02	1.694527886743580070e-01	7.727081377358410719e-02
2.755061999999999216e+02	1.700325732217697061e-01	7.753519669783294488e-02
2.765061999999999216e+02	1.706229645790832972e-01	7.780441634881304913e-02
2.775061999999999216e+02	1.712269867070065066e-01	7.807985165871265953e-02
2.785061999999999216e+02	1.718112638503429823e-01	7.834628321577412347e-02
2.795061999999999216e+02	1.723916832765203522e-01	7.861095564602199603e-02
2.805061999999999216e+02	1.729704696109327644e-01	7.887488338312773073e-02
2.815061999999999216e+02	1.735427949702751660e-01	7.913586490255630768e-02
2.825061999999999216e+02	1.741148513347990368e-01	7.939672375980454111e-02
2.835061999999999216e+02	1.746803447356961581e-01	7.965458989238782816e-02
2.845061999999999216e+02	1.752682485921105426e-01	7.992267523793541995e-02
2.855061999999999216e+02	1.758657880723954181e-01	8.019515444742300603e-02
2.865061999999999216e+02	1.764548909317801839e-01	8.046378654074594350e-02
2.875061999999999216e+02	1.770452353561454972e-01	8.073298479020686591e-02
2.885061999999999216e+02	1.776540108296332243e-01	8.101058763528128093e-02
2.895061999999999216e+02	1.782430756568890717e-01	8.127920238587665880e-02
2.905061999999999216e+02	1.788152798882637617e-01	8.154012867070739579e-02
2.915061999999999216e+02	1.793943694572299186e-01	8.180419468338190336e-02
2.925061999999999216e+02	1.799667440925651340e-01	8.206519867276272640e-02
2.935061999999999216e+02	1.805430594194018523e-01	8.232799962542473871e-02
2.945061999999999216e+02	1.811235686974976278e-01	8.259271302832883743e-02
2.955061999999999216e+02	1.817095391146397176e-01	8.285991672166452549e-02
2.965061999999999216e+02	1.823005263631754524e-01	8.312940810024503635e-02
2.975061999999999216e+02	1.828986967873309222e-01	8.340217502141154815e-02
2.985061999999999216e+02	1.835055733984390647e-01	8.367891198140692266e-02
2.995061999999999216e+02	1.841048434676264556e-01	8.395218034292824261e-02
3.005061999999999216e+02	1.846628377431079049e-01	8.420662685918069157e-02
3.015061999999999216e+02	1.852947217178763650e-01	8.449476722749696411e-02
3.025061999999999216e+02	1.855153562831574066e-01	8.459537703474309667e-02
