T	B16KOD1A Rho_mr
1.420189527054108396e+02	1.177101802157816124e+00
1.426124979959919870e+02	1.180547669115026954e+00
1.432060432865731627e+02	1.184009663457220807e+00
1.437995885771543101e+02	1.187696714622527461e+00
1.443931338677354859e+02	1.191201725138011813e+00
1.449866791583166616e+02	1.194566531351111571e+00
1.455802244488978090e+02	1.197738627047260973e+00
1.461737697394789848e+02	1.201189591240466648e+00
1.467673150300601321e+02	1.204764580630811377e+00
1.473608603206413079e+02	1.208372898643243820e+00
1.479544056112224553e+02	1.211938746014012525e+00
1.485479509018036310e+02	1.215725353951615517e+00
1.491414961923847784e+02	1.219313851895101886e+00
1.497350414829659542e+02	1.223115652211198112e+00
1.503285867735471015e+02	1.226594062483955083e+00
1.509221320641282773e+02	1.229987987426826690e+00
1.515156773547094247e+02	1.233383601943635277e+00
1.521092226452906004e+02	1.236756614760618600e+00
1.527027679358717478e+02	1.240235637743727803e+00
1.532963132264529236e+02	1.243727719081345828e+00
1.538898585170340709e+02	1.247136492646409689e+00
1.544834038076152467e+02	1.250552140497335873e+00
1.550769490981963941e+02	1.254086319714878828e+00
1.556704943887775698e+02	1.257641669239413451e+00
1.562640396793587456e+02	1.261168787503645028e+00
1.568575849699398930e+02	1.264653812331310023e+00
1.574511302605210687e+02	1.268513795462227645e+00
1.580446755511022161e+02	1.272219859237838646e+00
1.586382208416833919e+02	1.275935385240378528e+00
1.592317661322645392e+02	1.279666000501378909e+00
1.598253114228457150e+02	1.283518872509396447e+00
1.604188567134268624e+02	1.287060301490210223e+00
1.610124020040080381e+02	1.290432079045977121e+00
1.616059472945891855e+02	1.293922884854788569e+00
1.621994925851703613e+02	1.297369758755431812e+00
1.627930378757515086e+02	1.300849111155309989e+00
1.633865831663326844e+02	1.304409211615998654e+00
1.639801284569138318e+02	1.307893730468362437e+00
1.645736737474950075e+02	1.311528275705164281e+00
1.651672190380761549e+02	1.315109038689675325e+00
1.657607643286573307e+02	1.318679604785585546e+00
1.663543096192384780e+02	1.322424721794519975e+00
1.669478549098196538e+02	1.325986306905486245e+00
1.675414002004008296e+02	1.329761398921739168e+00
1.681349454909819769e+02	1.333486620257771538e+00
1.687284907815631527e+02	1.337206406217280596e+00
1.693220360721443001e+02	1.341002703692439457e+00
1.699155813627254759e+02	1.344878619017328081e+00
1.705091266533066232e+02	1.348297579281311886e+00
1.711026719438877990e+02	1.351808112024543096e+00
1.716962172344689463e+02	1.355330929555350838e+00
1.722897625250501221e+02	1.358855613016326513e+00
1.728833078156312695e+02	1.362402538010433650e+00
1.734768531062124453e+02	1.366008173850963958e+00
1.740703983967935926e+02	1.369606853221950304e+00
1.746639436873747684e+02	1.373239857983003409e+00
1.752574889779559157e+02	1.376920019755287106e+00
1.758510342685370915e+02	1.380592119246988991e+00
1.764445795591182389e+02	1.384363681660985224e+00
1.770381248496994147e+02	1.388117254429770853e+00
1.776316701402805904e+02	1.391875967877014508e+00
1.782252154308617378e+02	1.395661777113084590e+00
1.788187607214429136e+02	1.399428230581438282e+00
1.794123060120240609e+02	1.403332077670914169e+00
1.800058513026052367e+02	1.407133254578532444e+00
1.805993965931863841e+02	1.410651074392407889e+00
1.811929418837675598e+02	1.414260485943300560e+00
1.817864871743487072e+02	1.417814988536565624e+00
1.823800324649298830e+02	1.421334259028165681e+00
1.829735777555110303e+02	1.424994276899677281e+00
1.835671230460922061e+02	1.428589845636416333e+00
1.841606683366733535e+02	1.432244754892587402e+00
1.847542136272545292e+02	1.435913861799515079e+00
1.853477589178356766e+02	1.439584865553827031e+00
1.859413042084168524e+02	1.443368674063058243e+00
1.865348494989979997e+02	1.447035010409616351e+00
1.871283947895791755e+02	1.450878490787227859e+00
1.877219400801603229e+02	1.454742632899475696e+00
1.883154853707414986e+02	1.458641826305788536e+00
1.889090306613226744e+02	1.462398452886849887e+00
1.895025759519038218e+02	1.466206967923566751e+00
1.900961212424849975e+02	1.470036538920080460e+00
1.906896665330661449e+02	1.473590246783798907e+00
1.912832118236473207e+02	1.477123010572479078e+00
1.918767571142284680e+02	1.480826676194035185e+00
1.924703024048096438e+02	1.484440660078804042e+00
1.930638476953907912e+02	1.488091393583230726e+00
1.936573929859719669e+02	1.491750536197940180e+00
1.942509382765531143e+02	1.495474739116005258e+00
1.948444835671342901e+02	1.499166455360493977e+00
1.954380288577154374e+02	1.503023692319343851e+00
1.960315741482966132e+02	1.506712058907590412e+00
1.966251194388777606e+02	1.510516357223840922e+00
1.972186647294589363e+02	1.514310944118365754e+00
1.978122100200400837e+02	1.518247613517205830e+00
1.984057553106212595e+02	1.522193025495246710e+00
1.989993006012024068e+02	1.526050763855570258e+00
1.995928458917835826e+02	1.529890823492493279e+00
2.001863911823647584e+02	1.533708394572808942e+00
2.007799364729459057e+02	1.537268758203435448e+00
2.013734817635270815e+02	1.540927159679734926e+00
2.019670270541082289e+02	1.544653184422612791e+00
2.025605723446894046e+02	1.548224856825485718e+00
2.031541176352705520e+02	1.551961339675701712e+00
2.037476629258517278e+02	1.555609767780838260e+00
2.043412082164328751e+02	1.559509684544360120e+00
2.049347535070140509e+02	1.563235217819088252e+00
2.055282987975951983e+02	1.567059362117963373e+00
2.061218440881763740e+02	1.570763901542628460e+00
2.067153893787575214e+02	1.574642895646453322e+00
2.073089346693386972e+02	1.578560664227252275e+00
2.079024799599198445e+02	1.582521093414056335e+00
2.084960252505010203e+02	1.586349217961744218e+00
2.090895705410821677e+02	1.590159816593172737e+00
2.096831158316633434e+02	1.594252236073185447e+00
2.102766611222445192e+02	1.598176356507340579e+00
2.108702064128256666e+02	1.601697434317678859e+00
2.114637517034068424e+02	1.605278378858786992e+00
2.120572969939879897e+02	1.608899327794978351e+00
2.126508422845691655e+02	1.612731541756934339e+00
2.132443875751503128e+02	1.616709754716050496e+00
2.138379328657314886e+02	1.620728537730039776e+00
2.144314781563126360e+02	1.624532908912236895e+00
2.150250234468938118e+02	1.628062181116823437e+00
2.156185687374749591e+02	1.631465563917462225e+00
2.162121140280561349e+02	1.635210117195003532e+00
2.168056593186372822e+02	1.639064818320913108e+00
2.173992046092184580e+02	1.642887632948189847e+00
2.179927498997996054e+02	1.647114334758778886e+00
2.185862951903807812e+02	1.650970389224213353e+00
2.191798404809619285e+02	1.654892253868083030e+00
2.197733857715431043e+02	1.658853687529874943e+00
2.203669310621242516e+02	1.662588208176801530e+00
2.209604763527054274e+02	1.666238415696423836e+00
2.215540216432866032e+02	1.669908353889485664e+00
2.221475669338677505e+02	1.673698767645835028e+00
2.227411122244489263e+02	1.677448404910626856e+00
2.233346575150300737e+02	1.681255082391635236e+00
2.239282028056112495e+02	1.685046940847030106e+00
2.245217480961923968e+02	1.688914762782818491e+00
2.251152933867735726e+02	1.692862900722736486e+00
2.257088386773547199e+02	1.696798650548217768e+00
2.263023839679358957e+02	1.700627461826442755e+00
2.268959292585170431e+02	1.704537901422156887e+00
2.274894745490982189e+02	1.708371335536309932e+00
2.280830198396793662e+02	1.712326882559784380e+00
2.286765651302605420e+02	1.716292556873937780e+00
2.292701104208416893e+02	1.720286666768404027e+00
2.298636557114228651e+02	1.724379665673636985e+00
2.304572010020040125e+02	1.728048570378212245e+00
2.310507462925851883e+02	1.731869422752662979e+00
2.316442915831663356e+02	1.735534768042681142e+00
2.322378368737475114e+02	1.739404235569515400e+00
2.328313821643286872e+02	1.743136862449896407e+00
2.334249274549098345e+02	1.746956017311015019e+00
2.340184727454910103e+02	1.750806516848314898e+00
2.346120180360721577e+02	1.754651926284604091e+00
2.352055633266533334e+02	1.758611302551322808e+00
2.357991086172344808e+02	1.762495130452303549e+00
2.363926539078156566e+02	1.766397157223628112e+00
2.369861991983968039e+02	1.770290231372473322e+00
2.375797444889779797e+02	1.774264591857024342e+00
2.381732897795591271e+02	1.778292937431532383e+00
2.387668350701403028e+02	1.782300868982966691e+00
2.393603803607214502e+02	1.786308956349690780e+00
2.399539256513026260e+02	1.790304141154222872e+00
2.405474709418837733e+02	1.794071782774365298e+00
2.411410162324649491e+02	1.797872250876027200e+00
2.417345615230460965e+02	1.801725371907250128e+00
2.423281068136272722e+02	1.805534842147970664e+00
2.429216521042084480e+02	1.809383135159666756e+00
2.435151973947895954e+02	1.813219499665456258e+00
2.441087426853707711e+02	1.817168317043091230e+00
2.447022879759519185e+02	1.821066510625949819e+00
2.452958332665330943e+02	1.825017650290423621e+00
2.458893785571142416e+02	1.828859472857572666e+00
2.464829238476954174e+02	1.832804326437328157e+00
2.470764691382765648e+02	1.836874577109087303e+00
2.476700144288577405e+02	1.840929932018942727e+00
2.482635597194388879e+02	1.844943078442512263e+00
2.488571050100200637e+02	1.848943270002900041e+00
2.494506503006012110e+02	1.852903538274114137e+00
2.500441955911823868e+02	1.856894648474635146e+00
2.506377408817635342e+02	1.860753338529161027e+00
2.512312861723447099e+02	1.864527560642887938e+00
2.518248314629258573e+02	1.868344357767727448e+00
2.524183767535070331e+02	1.872222018069008787e+00
2.530119220440881804e+02	1.876098892541862240e+00
2.536054673346693562e+02	1.880003198625672001e+00
2.541990126252505320e+02	1.883957026603138019e+00
2.547925579158316793e+02	1.887880320970004133e+00
2.553861032064128551e+02	1.891864432267281515e+00
2.559796484969940025e+02	1.895853288871955256e+00
2.565731937875751782e+02	1.899825166305844526e+00
2.571667390781562972e+02	1.903784133457639527e+00
2.577602843687374730e+02	1.907867412230837001e+00
2.583538296593186487e+02	1.911833323950745900e+00
2.589473749498998245e+02	1.915727573190642907e+00
2.595409202404809434e+02	1.919552125144352139e+00
2.601344655310621192e+02	1.923226992935552770e+00
2.607280108216432950e+02	1.926572744592870645e+00
2.613215561122244139e+02	1.930045166950810964e+00
2.619151014028055897e+02	1.933483348628537879e+00
2.625086466933867655e+02	1.937160187425932989e+00
2.631021919839679413e+02	1.940460839924428305e+00
2.636957372745490602e+02	1.943974491013137351e+00
2.642892825651302360e+02	1.947314129803750182e+00
2.648828278557114118e+02	1.950886392184940643e+00
2.654763731462925875e+02	1.954334248489521642e+00
2.660699184368737633e+02	1.957878741979063753e+00
2.666634637274548822e+02	1.961547228884170657e+00
2.672570090180360580e+02	1.965296047921481604e+00
2.678505543086172338e+02	1.969023897195473882e+00
2.684440995991984096e+02	1.972996449190226986e+00
2.690376448897795285e+02	1.977493749569987802e+00
2.696311901803607043e+02	1.982003687515392798e+00
2.702247354709418801e+02	1.986174737926808875e+00
2.708182807615230558e+02	1.990110237236471624e+00
2.714118260521041748e+02	1.993958472131514226e+00
2.720053713426853506e+02	1.997828146585620246e+00
2.725989166332665263e+02	2.001722630440741391e+00
2.731924619238477021e+02	2.005697776307096003e+00
2.737860072144288210e+02	2.009561316736943493e+00
2.743795525050099968e+02	2.013500966936513148e+00
2.749730977955911726e+02	2.017534231545377477e+00
2.755666430861723484e+02	2.021487161095715024e+00
2.761601883767535242e+02	2.025469443641669809e+00
2.767537336673346431e+02	2.029549446699262294e+00
2.773472789579158189e+02	2.033570910627822137e+00
2.779408242484969946e+02	2.037605493204986740e+00
2.785343695390781704e+02	2.041680271962631021e+00
2.791279148296592894e+02	2.045760908979127546e+00
2.797214601202404651e+02	2.049929638017659705e+00
2.803150054108216409e+02	2.053911936701229290e+00
2.809085507014028167e+02	2.057808065494335370e+00
2.815020959919839356e+02	2.061652453263799867e+00
2.820956412825651114e+02	2.065533814152548775e+00
2.826891865731462872e+02	2.069504849755521292e+00
2.832827318637274630e+02	2.073398650179941960e+00
2.838762771543085819e+02	2.077293756891155141e+00
2.844698224448897577e+02	2.081245660416594756e+00
2.850633677354709334e+02	2.085385769898991271e+00
2.856569130260521092e+02	2.089371590436795323e+00
2.862504583166332850e+02	2.093380515782597318e+00
2.868440036072144039e+02	2.097442530303261332e+00
2.874375488977955797e+02	2.101487596915946554e+00
2.880310941883767555e+02	2.105407179537973406e+00
2.886246394789579313e+02	2.109557271800010625e+00
2.892181847695390502e+02	2.113755363223371209e+00
2.898117300601202260e+02	2.117887995108420629e+00
2.904052753507014017e+02	2.121834431343985194e+00
2.909988206412825775e+02	2.125708902651928689e+00
2.915923659318636965e+02	2.129633592344171156e+00
2.921859112224448722e+02	2.133555784051582194e+00
2.927794565130260480e+02	2.137530827954406298e+00
2.933730018036072238e+02	2.141087240538073644e+00
2.939665470941883427e+02	2.145065424776207319e+00
2.945600923847695185e+02	2.149102243614966934e+00
2.951536376753506943e+02	2.153254635272983553e+00
2.957471829659318701e+02	2.157246652775627105e+00
2.963407282565129890e+02	2.161281941353527358e+00
2.969342735470941648e+02	2.165326477681094097e+00
2.975278188376753405e+02	2.169586606331598055e+00
2.981213641282565163e+02	2.173728577892034330e+00
2.987149094188376921e+02	2.177912710869384760e+00
2.993084547094188110e+02	2.182031578641665082e+00
2.999019999999999868e+02	2.185796692338375369e+00
