T	B07KOD2 Rho_mr
1.345044577154308740e+02	2.093926589265250104e+00
1.350965174348697531e+02	2.099924075138206447e+00
1.356885771543086321e+02	2.105843930279809761e+00
1.362806368737474827e+02	2.112041069089070522e+00
1.368726965931863617e+02	2.118110269430288906e+00
1.374647563126252408e+02	2.124280129946063855e+00
1.380568160320641198e+02	2.130435135121804713e+00
1.386488757515029988e+02	2.136512228480906828e+00
1.392409354709418778e+02	2.142762072816084107e+00
1.398329951903807569e+02	2.148149844369031669e+00
1.404250549098196359e+02	2.154940613400453397e+00
1.410171146292585149e+02	2.160767326148945067e+00
1.416091743486973940e+02	2.166497280152939187e+00
1.422012340681362730e+02	2.172238263927271706e+00
1.427932937875751520e+02	2.178192094048123639e+00
1.433853535070140310e+02	2.184075041511893467e+00
1.439774132264529101e+02	2.190050155350142358e+00
1.445694729458917891e+02	2.196135167841791525e+00
1.451615326653306681e+02	2.202172116205609154e+00
1.457535923847695472e+02	2.208319893101866604e+00
1.463456521042084262e+02	2.214456895291576188e+00
1.469377118236473052e+02	2.220768914446425324e+00
1.475297715430861842e+02	2.227132961219533858e+00
1.481218312625250633e+02	2.233361023972990633e+00
1.487138909819639139e+02	2.239651893836676955e+00
1.493059507014027929e+02	2.245987307234691865e+00
1.498980104208416719e+02	2.252460429464559155e+00
1.504900701402805510e+02	2.258484456664022311e+00
1.510821298597194300e+02	2.264252436537608215e+00
1.516741895791583090e+02	2.270291569876150106e+00
1.522662492985971880e+02	2.276357377669463666e+00
1.528583090180360671e+02	2.282425183384827250e+00
1.534503687374749461e+02	2.288430079121490213e+00
1.540424284569138251e+02	2.294483507913712916e+00
1.546344881763527042e+02	2.300658587260031585e+00
1.552265478957915832e+02	2.306894188196694895e+00
1.558186076152304622e+02	2.313049316400506594e+00
1.564106673346693412e+02	2.319351313859715269e+00
1.570027270541082203e+02	2.325742691621016878e+00
1.575947867735470993e+02	2.332197788757879309e+00
1.581868464929859783e+02	2.338631628941083118e+00
1.587789062124248574e+02	2.345041793088323168e+00
1.593709659318637364e+02	2.352077475576434651e+00
1.599630256513026154e+02	2.358723034796860407e+00
1.605550853707414944e+02	2.364757965943985241e+00
1.611471450901803451e+02	2.370843487288214035e+00
1.617392048096192241e+02	2.376873252213917542e+00
1.623312645290581031e+02	2.382991910981933970e+00
1.629233242484969821e+02	2.388835177116999997e+00
1.635153839679358612e+02	2.395111865901102810e+00
1.641074436873747402e+02	2.401407683157058770e+00
1.646995034068136192e+02	2.407627647611443766e+00
1.652915631262524983e+02	2.413909108828806271e+00
1.658836228456913773e+02	2.420320024084712252e+00
1.664756825651302563e+02	2.426620117494046269e+00
1.670677422845691353e+02	2.433096037085653585e+00
1.676598020040080144e+02	2.439591162964043214e+00
1.682518617234468934e+02	2.446166913718124558e+00
1.688439214428857724e+02	2.452600846452948957e+00
1.694359811623246515e+02	2.459354168261866924e+00
1.700280408817635305e+02	2.465905299997185107e+00
1.706201006012024095e+02	2.472079963841857797e+00
1.712121603206412885e+02	2.478032652948127357e+00
1.718042200400801676e+02	2.484214767787866318e+00
1.723962797595190466e+02	2.490320097464852278e+00
1.729883394789579256e+02	2.496602342217214776e+00
1.735803991983967762e+02	2.502844903405387900e+00
1.741724589178356553e+02	2.509284702119809474e+00
1.747645186372745343e+02	2.515583725548213412e+00
1.753565783567134133e+02	2.522080086323711168e+00
1.759486380761522923e+02	2.528532768116996898e+00
1.765406977955911714e+02	2.535081965577261176e+00
1.771327575150300504e+02	2.541642948721232642e+00
1.777248172344689294e+02	2.548038751964480486e+00
1.783168769539078085e+02	2.554709943502366798e+00
1.789089366733466875e+02	2.561237372594856065e+00
1.795009963927855665e+02	2.567919681121563880e+00
1.800930561122244455e+02	2.574672743639192518e+00
1.806851158316633246e+02	2.580933197839902604e+00
1.812771755511022036e+02	2.587093049921266985e+00
1.818692352705410826e+02	2.593369540548196461e+00
1.824612949899799617e+02	2.599615352646932553e+00
1.830533547094188407e+02	2.605754311123348543e+00
1.836454144288577197e+02	2.612119909827621544e+00
1.842374741482965987e+02	2.618807955320406222e+00
1.848295338677354778e+02	2.625155317443482961e+00
1.854215935871743568e+02	2.630571110846865235e+00
1.860136533066132358e+02	2.637120867887885023e+00
1.866057130260520864e+02	2.643643866220257266e+00
1.871977727454909655e+02	2.650317744452383550e+00
1.877898324649298445e+02	2.656955744250979912e+00
1.883818921843687235e+02	2.663657470810826489e+00
1.889739519038076025e+02	2.670356059542374538e+00
1.895660116232464816e+02	2.677238894642629763e+00
1.901580713426853606e+02	2.683806009018794292e+00
1.907501310621242396e+02	2.690012279646356141e+00
1.913421907815631187e+02	2.696325087918422181e+00
1.919342505010019977e+02	2.702763558431070301e+00
1.925263102204408767e+02	2.709024869914832934e+00
1.931183699398797557e+02	2.715457293224446733e+00
1.937104296593186348e+02	2.721830457010607329e+00
1.943024893787575138e+02	2.728297131810303089e+00
1.948945490981963928e+02	2.734759110321500764e+00
1.954866088176352719e+02	2.741222159141779802e+00
1.960786685370741509e+02	2.747649010732092556e+00
1.966707282565130299e+02	2.753924756753481695e+00
1.972627879759519089e+02	2.760709695354560456e+00
1.978548476953907880e+02	2.767458988429714051e+00
1.984469074148296670e+02	2.774133909097341810e+00
1.990389671342685176e+02	2.780997189311324558e+00
1.996310268537073966e+02	2.787784780330367695e+00
2.002230865731462757e+02	2.794629759238897559e+00
2.008151462925851547e+02	2.800830724502844316e+00
2.014072060120240337e+02	2.807168220252682644e+00
2.019992657314629128e+02	2.813541663741835563e+00
2.025913254509017918e+02	2.820082455306876845e+00
2.031833851703406708e+02	2.826457362596137113e+00
2.037754448897795498e+02	2.833015906808781015e+00
2.043675046092184289e+02	2.839619711635516630e+00
2.049595643286573079e+02	2.846230898887073035e+00
2.055516240480961869e+02	2.852922204016905106e+00
2.061436837675350660e+02	2.859571814994850580e+00
2.067357434869739450e+02	2.866473295593142456e+00
2.073278032064128240e+02	2.873189751462844388e+00
2.079198629258517030e+02	2.880021558450268415e+00
2.085119226452905821e+02	2.886849531714839046e+00
2.091039823647294611e+02	2.893805692536949969e+00
2.096960420841683401e+02	2.900701957209850246e+00
2.102881018036072192e+02	2.907521356676294300e+00
2.108801615230460982e+02	2.913904979754340374e+00
2.114722212424849772e+02	2.920502978781597481e+00
2.120642809619238278e+02	2.927033326349170128e+00
2.126563406813627068e+02	2.933503861426669967e+00
2.132484004008015859e+02	2.940278231933188824e+00
2.138404601202404649e+02	2.946949367816277476e+00
2.144325198396793439e+02	2.953718132006552644e+00
2.150245795591182230e+02	2.960409827388857718e+00
2.156166392785571020e+02	2.967181051850160234e+00
2.162086989979959810e+02	2.974098223161946386e+00
2.168007587174348600e+02	2.980959323867034882e+00
2.173928184368737391e+02	2.987846518237675664e+00
2.179848781563126181e+02	2.994782510025123745e+00
2.185769378757514971e+02	3.001686203297756261e+00
2.191689975951903762e+02	3.008658589582145382e+00
2.197610573146292552e+02	3.015583558348803539e+00
2.203531170340681342e+02	3.022468889026159733e+00
2.209451767535070132e+02	3.029147682029655009e+00
2.215372364729458923e+02	3.035557942791223596e+00
2.221292961923847713e+02	3.042073469880045788e+00
2.227213559118236503e+02	3.048938916700308699e+00
2.233134156312625294e+02	3.055664957071380528e+00
2.239054753507014084e+02	3.062482660544735502e+00
2.244975350701402590e+02	3.069032954283865688e+00
2.250895947895791380e+02	3.076153429842550580e+00
2.256816545090180171e+02	3.082972830347618487e+00
2.262737142284568961e+02	3.089725486192653747e+00
2.268657739478957751e+02	3.096699615209448808e+00
2.274578336673346541e+02	3.103637277986464937e+00
2.280498933867735332e+02	3.110725030000629054e+00
2.286419531062124122e+02	3.117869570196332152e+00
2.292340128256512912e+02	3.124885015403729760e+00
2.298260725450901703e+02	3.132115828406525804e+00
2.304181322645290493e+02	3.138815192998689163e+00
2.310101919839679283e+02	3.145433742152113243e+00
2.316022517034068073e+02	3.152148207022495985e+00
2.321943114228456864e+02	3.158944480396951526e+00
2.327863711422845654e+02	3.165679323752813357e+00
2.333784308617234444e+02	3.172282405523433102e+00
2.339704905811623235e+02	3.179313365542805414e+00
2.345625503006012025e+02	3.186107747730044792e+00
2.351546100200400815e+02	3.193051503461621810e+00
2.357466697394789605e+02	3.199949835194548342e+00
2.363387294589178396e+02	3.206894877640313446e+00
2.369307891783566902e+02	3.214025492238789639e+00
2.375228488977955692e+02	3.221055887242657789e+00
2.381149086172344482e+02	3.228378787068605149e+00
2.387069683366733273e+02	3.235417623386460217e+00
2.392990280561122063e+02	3.242444136103923125e+00
2.398910877755510853e+02	3.249814119431913451e+00
2.404831474949899643e+02	3.256851179682153319e+00
2.410752072144288434e+02	3.263532385488491894e+00
2.416672669338677224e+02	3.270111175481729582e+00
2.422593266533066014e+02	3.276924617482464885e+00
2.428513863727454805e+02	3.283632446759378709e+00
2.434434460921843595e+02	3.290296985217096459e+00
2.440355058116232385e+02	3.297540512424401715e+00
2.446275655310621175e+02	3.304094071155542878e+00
2.452196252505009966e+02	3.311253420742275466e+00
2.458116849699398756e+02	3.318336758781359919e+00
2.464037446893787546e+02	3.325495736603808261e+00
2.469958044088176337e+02	3.332504537830807134e+00
2.475878641282565127e+02	3.339817986443634812e+00
2.481799238476953917e+02	3.347494672486750922e+00
2.487719835671342707e+02	3.354658307604390099e+00
2.493640432865731213e+02	3.361982695452319092e+00
2.499561030060120004e+02	3.369331297617563337e+00
2.505481627254508794e+02	3.376220922561183890e+00
