T	B30KOD3 Rho_mr	Err
2.055144999999999982e+02	1.336698726718966446e-01	6.342206120362407773e-02
2.065144999999999982e+02	1.342867610575748383e-01	6.371475492862165024e-02
2.075144999999999982e+02	1.348866393577458633e-01	6.399937791439763712e-02
2.085144999999999982e+02	1.355312464019109708e-01	6.430522325254407756e-02
2.095144999999999982e+02	1.361174451640923821e-01	6.458335573692082499e-02
2.105144999999999982e+02	1.367115690002443096e-01	6.486524841434895827e-02
2.115144999999999982e+02	1.372714216238226093e-01	6.513088050217734348e-02
2.125144999999999982e+02	1.378659728439968479e-01	6.541297595959681688e-02
2.135144999999999982e+02	1.384553300143869237e-01	6.569260700722279189e-02
2.145144999999999982e+02	1.390619311206559849e-01	6.598041974856067027e-02
2.155144999999999982e+02	1.396289846087027109e-01	6.624946841529279207e-02
2.165144999999999982e+02	1.402653921767692269e-01	6.655142336539167369e-02
2.175144999999999982e+02	1.408737983007139483e-01	6.684009252964077941e-02
2.185144999999999982e+02	1.415209750235431885e-01	6.714715709777713259e-02
2.195144999999999982e+02	1.420946138820271543e-01	6.741933031126444431e-02
2.205144999999999982e+02	1.427115009527946121e-01	6.771202341237908540e-02
2.215144999999999982e+02	1.432886018621570001e-01	6.798583925780961323e-02
2.225144999999999982e+02	1.438718147565185568e-01	6.826255504380973615e-02
2.235144999999999982e+02	1.444652198246423602e-01	6.854410668889486524e-02
2.245144999999999982e+02	1.450898989306901032e-01	6.884049686047548355e-02
2.255144999999999982e+02	1.456674844159721871e-01	6.911454262161570439e-02
2.265144999999999982e+02	1.463016238593296825e-01	6.941542141939066601e-02
2.275144999999999982e+02	1.469146414614946605e-01	6.970627858193793880e-02
2.285144999999999982e+02	1.475470564481203839e-01	7.000633918038197401e-02
2.295144999999999982e+02	1.481440371779907117e-01	7.028958736211815550e-02
2.305144999999999982e+02	1.487643310839056321e-01	7.058389689708517711e-02
2.315144999999999982e+02	1.493335177443637085e-01	7.085395768561057739e-02
2.325144999999999982e+02	1.499302070305926216e-01	7.113706758669985364e-02
2.335144999999999982e+02	1.505373040962024178e-01	7.142511564481504593e-02
2.345144999999999982e+02	1.511660301528271744e-01	7.172342596445936691e-02
2.355144999999999982e+02	1.517560013263535568e-01	7.200334833685217983e-02
2.365144999999999982e+02	1.523768673851081668e-01	7.229792933996452564e-02
2.375144999999999982e+02	1.529939327669046500e-01	7.259070704393524864e-02
2.385144999999999982e+02	1.536272841583021520e-01	7.289121193636682872e-02
2.395144999999999982e+02	1.542162924943673852e-01	7.317067747330997796e-02
2.405144999999999982e+02	1.548413608947039888e-01	7.346725235252681008e-02
2.415144999999999982e+02	1.554321881049973986e-01	7.374758088687033419e-02
2.425144999999999982e+02	1.560384478840359801e-01	7.403523167940052885e-02
2.435144999999999982e+02	1.566313178834304320e-01	7.431652945155957368e-02
2.445144999999999982e+02	1.572570334373897261e-01	7.461341138438426501e-02
